,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,,Carbon steel,Sheet,SA–1008,CS–A,,,,1.0,1.0,275.0,140.0,NP,NP,343,NP,CS–6,,78.6,78.6,78.6,78.6,78.6,78.6,76.0,71.6,69.6,67.8,,,,,,,,,,,,,,,,,,,,,,,
1,,Carbon steel,Sheet,SA–1008,CS–B,,,,1.0,1.0,275.0,140.0,NP,NP,343,NP,CS–6,,78.6,78.6,78.6,78.6,78.6,78.6,76.0,71.6,69.6,67.8,,,,,,,,,,,,,,,,,,,,,,,
2,,Carbon steel,Bar,SA–675,45,,,,1.0,1.0,310.0,155.0,NP,343 (Cl. 3 only),482,343,CS–6,"G10, G22, T10",88.9,88.9,88.9,88.9,88.9,88.4,85.0,80.7,78.4,75.8,73.5,71.5,64.0,56.1,44.5,31.7,,,,,,,,,,,,,,,,,
3,,Carbon steel,Wld. pipe,SA–134,A283A,,,,1.0,1.0,310.0,165.0,NP,149 (Cl. 3 only),NP,NP,CS–1,W12,88.9,88.9,88.9,88.9,88.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Carbon steel,Plate,SA–285,A,K01700,,,1.0,1.0,310.0,165.0,482,371,482,343,CS–1,"G10, T2",88.9,88.9,88.9,88.9,88.9,88.9,88.9,86.3,83.8,81.4,78.8,73.4,64.0,56.1,44.5,31.7,,,,,,,,,,,,,,,,,
6,,Carbon steel,Wld. pipe,SA–672,A45,K01700,,,1.0,1.0,310.0,165.0,NP,371,NP,NP,CS–1,"S6, W10, W12",88.9,88.9,88.9,88.9,88.9,88.9,88.9,86.3,83.8,81.4,78.8,,,,,,,,,,,,,,,,,,,,,,
7,,Carbon steel,Sheet,SA–414,A,K01501,,,1.0,1.0,310.0,170.0,NP,NP,482,343,CS–1,"G10, T2",88.9,88.9,88.9,88.9,88.9,88.9,88.9,88.5,87.5,84.8,81.2,73.4,64.0,56.1,44.5,31.7,,,,,,,,,,,,,,,,,
8,,Carbon steel,Wld. tube,SA–178,A,K01200,,,1.0,1.0,325.0,180.0,538,NP,NP,NP,CS–1,"G4, G10, S1, T2, W13",92.4,92.4,92.4,92.4,92.4,92.4,92.4,91.9,90.7,87.8,84.3,73.3,63.9,56.2,44.5,31.9,21.8,12.7,,,,,,,,,,,,,,,
9,,Carbon steel,Wld. tube,SA–178,A,K01200,,,1.0,1.0,325.0,180.0,538,NP,538,343,CS–1,"G3, G10, G24, S1, T2, W6",78.6,78.6,78.6,78.6,78.6,78.6,78.6,78.1,77.1,74.7,71.4,62.3,54.2,47.6,37.7,27.1,18.5,10.6,,,,,,,,,,,,,,,
10,,Carbon steel,Smls. tube,SA–179,,K01200,,,1.0,1.0,325.0,180.0,NP,NP,482,343,CS–1,"G10, T2",92.4,92.4,92.4,92.4,92.4,92.4,92.4,91.9,90.7,87.8,84.3,73.3,63.9,56.2,44.5,31.9,,,,,,,,,,,,,,,,,
11,,Carbon steel,Smls. tube,SA–192,,K01201,,,1.0,1.0,325.0,180.0,538,NP,538,343,CS–1,"G10, S1, T2",92.4,92.4,92.4,92.4,92.4,92.4,92.4,91.9,90.7,87.8,84.3,73.3,63.9,56.2,44.5,31.9,21.8,12.7,,,,,,,,,,,,,,,
12,,Carbon steel,Wld. tube,SA–214,,K01807,,,1.0,1.0,325.0,180.0,NP,NP,538,343,CS–1,"G24, T2, W6",78.6,78.6,78.6,78.6,78.6,78.6,78.6,78.1,77.1,74.7,71.4,62.3,54.2,47.6,37.7,27.1,18.5,10.6,,,,,,,,,,,,,,,
13,,Carbon steel,Smls. tube,SA–556,A2,K01807,,,1.0,1.0,325.0,180.0,NP,NP,538,343,CS–1,"G10, T2",92.4,92.4,92.4,92.4,92.4,92.4,92.4,91.9,90.7,87.8,84.3,73.3,63.9,56.2,44.5,31.9,21.8,12.7,,,,,,,,,,,,,,,
14,,Carbon steel,Wld. tube,SA–557,A2,K01807,,,1.0,1.0,325.0,180.0,NP,NP,538,343,CS–1,"G24, T2, W6",78.6,78.6,78.6,78.6,78.6,78.6,78.6,78.1,77.1,74.7,71.4,62.3,54.2,47.6,37.7,27.1,18.5,10.6,,,,,,,,,,,,,,,
